Device Name,IP Address,Serial Number,Firmware Version,Device Model,Personnel Count,Lock Count,Reader Count,Max User Count,Max Finger Count,Status,Error
C3-100,10.100.1.3,AJYS082162433,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
NS 1 BELAKANG,10.100.1.4,9000330214002,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.5,AJYS082162449,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
NS 3 Belakang,10.100.1.6,9000330214012,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.8,AJYS082162424,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
GIZI BELAKANG,10.100.1.9,9000330214019,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.10,AJYS082162427,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.11,AJYS082162438,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.12,AJYS082162447,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.13,AJYS082162451,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.14,AJYS082162446,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
OK PETUGAs,10.100.1.15,9000330214010,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
IGD 2,10.100.1.16,9000330214007,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.17,ACYT032350106,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.18,ACYT032350135,AC Ver 5.4.3.2001 Sep 25 2019,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.19,ACP7032462022,AC Ver 5.4.3.2001 Jun 15 2023,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.20,ACC3062531064,AC Ver 5.4.3.2001 Feb 15 2025,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.21,ACC3062531073,AC Ver 5.4.3.2001 Feb 15 2025,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.22,REZ5092532073,AC Ver 5.4.3.2001 Feb 15 2025,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-100,10.100.1.23,REZ5092532070,AC Ver 5.4.3.2001 Feb 15 2025,C3-100,N/A,1,2,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-200,10.100.1.24,REZ5092532010,AC Ver 5.4.3.2001 Feb 15 2025,C3-200,N/A,2,4,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-200,10.100.1.25,ZMD9122563035,AC Ver 5.4.3.2001 Feb 15 2025,C3-200,N/A,2,4,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
C3-200,10.100.1.26,ZMD9122563043,AC Ver 5.4.3.2001 Feb 15 2025,C3-200,N/A,2,4,300,10,OK,(personnel count gagal: invalid literal for int() with base 10: 'i1')
