name,ip
IBS PENERIMAAN,10.100.1.3
NS 1 BELAKANG,10.100.1.4
RM LT3,10.100.1.5
NS 3 Belakang,10.100.1.6
NS 2 BELAKANG,10.100.1.8
GIZI BELAKANG,10.100.1.9
INSTALASI BEDAH SENTRAL,10.100.1.10
ICU,10.100.1.11
RUANGAN SERVER,10.100.1.12
RADIOLOGI BELAKANG,10.100.1.13
IGD Kiri,10.100.1.14
OK PETUGAs,10.100.1.15
IGD 2,10.100.1.16
FARMASI RANAP,10.100.1.17
FARMASI RAJAL Lt1,10.100.1.18
NICU PICU,10.100.1.19
ISOLASI,10.100.1.20
FARAMASI LOG,10.100.1.21
Ranap 2,10.100.1.22
AREA TEKNISI BELAKANG,10.100.1.23
Depan Ranap 1,10.100.1.24
GASMedis,10.100.1.25
GIZI BELAKANG2,10.100.1.26
